take_uid,object_name,src_camera,dest_camera,frame,experiment,vlm_model,vlm_output,iou,ba,ca,le,obj_rel_area,obj_dist_center,obj_size_cat,obj_is_peripheral
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-A,qwen3-vl:235b-cloud,red cup,0.0390625,0.9998275393084186,0.0,0.00034491654702081836,1.5190972222222222e-05,0.27224852035802327,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-B,qwen3-vl:235b-cloud,red berries,0.0,0.0,0.0,1.0,1.5190972222222222e-05,0.27224852035802327,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-C,qwen3-vl:235b-cloud,white mug,0.0,0.0,0.0,1.0,1.5190972222222222e-05,0.27224852035802327,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-A,qwen3-vl:235b-cloud,red pepper,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-B,qwen3-vl:235b-cloud,green cucumbers,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-C,qwen3-vl:235b-cloud,red tomatoes,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-A,qwen3-vl:235b-cloud,orange container,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-B,qwen3-vl:235b-cloud,blue container,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-C,qwen3-vl:235b-cloud,blue container,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-A,qwen3-vl:235b-cloud,orange pen,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-B,qwen3-vl:235b-cloud,blue marker,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-C,qwen3-vl:235b-cloud,orange marker,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-A,qwen3-vl:235b-cloud,red cutting board,0.0,0.0,0.0,1.0,0.04662760416666667,0.2796365807097554,medium,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-B,qwen3-vl:235b-cloud,white cutting_board,0.9779504033462803,0.9921894804753284,0.2813522355507088,0.001034749641062455,0.04662760416666667,0.2796365807097554,medium,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-C,qwen3-vl:235b-cloud,white cutting board,0.9764297678870543,0.990893716260135,0.2550693703308431,0.0011048546302943288,0.04662760416666667,0.2796365807097554,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,32610,EXP-A,qwen3-vl:235b-cloud,orange carrots,0.0,0.0,0.0,1.0,0.011850163966049383,0.30045137516998704,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,32610,EXP-B,qwen3-vl:235b-cloud,white bowl,0.6199021207177814,0.8149918879938652,0.25396825396825395,0.0045736494974874375,0.011850163966049383,0.30045137516998704,medium,False
