take_uid,object_name,src_camera,dest_camera,frame,experiment,vlm_model,vlm_output,vlm_reprompted,vlm_reprompt_reason,src_mask_area,vlm_growth_threshold,vlm_movement_threshold,src_move_x_ratio,src_move_y_ratio,iou,ba,ca,le,obj_rel_area,obj_dist_center,obj_size_cat,obj_is_peripheral
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-A,qwen3.5:35b,unknown object,True,cold_start,453,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.5190972222222222e-05,0.27224852035802327,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-B,qwen3.5:35b,unknown object,True,cold_start,453,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.5190972222222222e-05,0.27224852035802327,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,gp04,10260,EXP-C,qwen3.5:35b,white mug,True,cold_start,453,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.5190972222222222e-05,0.27224852035802327,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-A,qwen3.5:35b,red peppers,True,cold_start,13964,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-B,qwen3.5:35b,red pepper,True,cold_start,13964,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,chopped cucumber_0,aria01_214-1,cam04,4230,EXP-C,qwen3.5:35b,unknown object,True,cold_start,13964,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.003388310185185185,0.24182100241538812,small,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-A,qwen3.5:35b,unknown object,True,cold_start,27390,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-B,qwen3.5:35b,white test strip,True,cold_start,27390,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
062ed386-05a4-4ff5-a8ff-2235045349d7,flowflex antigen rapid test kit_0,aria01_214-1,cam01,1470,EXP-C,qwen3.5:35b,unknown object,True,cold_start,27390,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0057831790123456794,0.17622350430203423,medium,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-A,qwen3.5:35b,pink box,True,cold_start,7866,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-B,qwen3.5:35b,pink box,True,cold_start,7866,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
fe9c727d-dac3-4efe-9906-b268991547cf,tube_0,aria02_214-1,cam03,1500,EXP-C,qwen3.5:35b,unknown object,True,cold_start,7866,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0005016637731481481,0.10139839401513431,small,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-A,qwen3.5:35b,unknown object,True,cold_start,43443,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.04662760416666667,0.2796365807097554,medium,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-B,qwen3.5:35b,white cutting board,True,cold_start,43443,0.2,0.2,0.0,0.0,0.9766078372719115,0.9909553553719961,0.2623655913978495,0.001096442031586504,0.04662760416666667,0.2796365807097554,medium,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,White Chopping Board_0,aria01_214-1,cam01,990,EXP-C,qwen3.5:35b,white cutting board,True,cold_start,43443,0.2,0.2,0.0,0.0,0.9766078372719115,0.9909553553719961,0.2623655913978495,0.001096442031586504,0.04662760416666667,0.2796365807097554,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,32610,EXP-A,qwen3.5:35b,unknown object,True,cold_start,32604,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.011850163966049383,0.30045137516998704,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,32610,EXP-B,qwen3.5:35b,clear jar,True,cold_start,32604,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.011850163966049383,0.30045137516998704,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,32610,EXP-C,qwen3.5:35b,unknown object,True,cold_start,32604,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.011850163966049383,0.30045137516998704,medium,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,black chopsticks_0,aria01_214-1,cam04,4620,EXP-A,qwen3.5:35b,red pepper,True,cold_start,3338,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.000757619598765432,0.4242574343295313,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,black chopsticks_0,aria01_214-1,cam04,4620,EXP-B,qwen3.5:35b,red pepper,True,cold_start,3338,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.000757619598765432,0.4242574343295313,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,black chopsticks_0,aria01_214-1,cam04,4620,EXP-C,qwen3.5:35b,unknown object,True,cold_start,3338,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.000757619598765432,0.4242574343295313,small,False
5b4cc5cb-22f0-4814-aa24-8d51ba50000a,White Chopping board_0,aria01_214-1,cam01,1230,EXP-A,qwen3.5:35b,unknown object,True,cold_start,37277,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0019156298225308642,0.44815538251799375,small,False
5b4cc5cb-22f0-4814-aa24-8d51ba50000a,White Chopping board_0,aria01_214-1,cam01,1230,EXP-B,qwen3.5:35b,blue tray,True,cold_start,37277,0.2,0.2,0.0,0.0,0.04457572502685284,0.559368963584175,0.16566265060240964,0.004988671033740129,0.0019156298225308642,0.44815538251799375,small,False
5b4cc5cb-22f0-4814-aa24-8d51ba50000a,White Chopping board_0,aria01_214-1,cam01,1230,EXP-C,qwen3.5:35b,blue tray,True,cold_start,37277,0.2,0.2,0.0,0.0,0.04457572502685284,0.559368963584175,0.16566265060240964,0.004988671033740129,0.0019156298225308642,0.44815538251799375,small,False
4a10d608-6712-4f08-aa69-1cfd4541dd6c,cooking ingredient bowl_0,aria01_214-1,cam02,6630,EXP-A,qwen3.5:35b,unknown object,True,cold_start,41539,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.005953052662037037,0.16036016746442014,medium,False
4a10d608-6712-4f08-aa69-1cfd4541dd6c,cooking ingredient bowl_0,aria01_214-1,cam02,6630,EXP-B,qwen3.5:35b,black knife,True,cold_start,41539,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.005953052662037037,0.16036016746442014,medium,False
4a10d608-6712-4f08-aa69-1cfd4541dd6c,cooking ingredient bowl_0,aria01_214-1,cam02,6630,EXP-C,qwen3.5:35b,unknown object,True,cold_start,41539,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.005953052662037037,0.16036016746442014,medium,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,11490,EXP-A,qwen3.5:35b,yellow box,True,cold_start,2773,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.00045910493827160494,0.1663801003425415,small,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,11490,EXP-B,qwen3.5:35b,black frying pan,True,cold_start,2773,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.00045910493827160494,0.1663801003425415,small,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,11490,EXP-C,qwen3.5:35b,black frying pan,True,cold_start,2773,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.00045910493827160494,0.1663801003425415,small,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,5130,EXP-A,qwen3.5:35b,red package of meat,True,growth+movement,10131,0.2,0.2,0.7711792336312009,0.07733047330863146,0.0,0.0,0.0,1.0,0.0003505979938271605,0.16922608567601918,small,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,5130,EXP-B,qwen3.5:35b,red meat package,True,growth+movement,10131,0.2,0.2,0.7711792336312009,0.07733047330863146,0.0,0.0,0.0,1.0,0.0003505979938271605,0.16922608567601918,small,False
05e5f359-526d-4914-a86b-5a56cfcc0274,steel handle knife_0,aria01_214-1,cam01,5130,EXP-C,qwen3.5:35b,red ground beef,True,growth+movement,10131,0.2,0.2,0.7711792336312009,0.07733047330863146,0.0,0.0,0.0,1.0,0.0003505979938271605,0.16922608567601918,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,mini tomato_5,aria01_214-1,cam04,3690,EXP-A,qwen3.5:35b,white cutting board,True,cold_start,828,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,9.560667438271604e-05,0.2182741696941334,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,mini tomato_5,aria01_214-1,cam04,3690,EXP-B,qwen3.5:35b,red tomato,True,cold_start,828,0.2,0.2,0.0,0.0,0.7317073170731707,0.9285630151469685,0.42857142857142855,3.084619526202441e-05,9.560667438271604e-05,0.2182741696941334,small,False
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,mini tomato_5,aria01_214-1,cam04,3690,EXP-C,qwen3.5:35b,red cherry tomato,True,cold_start,828,0.2,0.2,0.0,0.0,0.6829268292682927,0.8999915865755399,0.3448275862068966,3.64545944005743e-05,9.560667438271604e-05,0.2182741696941334,small,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,20550,EXP-A,qwen3.5:35b,unknown object,True,movement,38792,0.2,0.2,0.3055276048715391,0.17624183239442298,0.0,0.0,0.0,1.0,0.012444179205246913,0.298011694406468,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,20550,EXP-B,qwen3.5:35b,black knife,True,movement,38792,0.2,0.2,0.3055276048715391,0.17624183239442298,0.0,0.0,0.0,1.0,0.012444179205246913,0.298011694406468,medium,False
72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,cam04,20550,EXP-C,qwen3.5:35b,orange carrot,True,movement,38792,0.2,0.2,0.3055276048715391,0.17624183239442298,0.0,0.0,0.0,1.0,0.012444179205246913,0.298011694406468,medium,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,Stainless Steel Flat Plate_0,aria01_214-1,cam01,7140,EXP-A,qwen3.5:35b,unknown object,True,cold_start,40320,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.004574652777777778,0.11609958723896045,small,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,Stainless Steel Flat Plate_0,aria01_214-1,cam01,7140,EXP-B,qwen3.5:35b,silver spatula,True,cold_start,40320,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.004574652777777778,0.11609958723896045,small,False
027d6141-8cf8-4cd6-b250-6f1ac4f6afcf,Stainless Steel Flat Plate_0,aria01_214-1,cam01,7140,EXP-C,qwen3.5:35b,unknown object,True,cold_start,40320,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.004574652777777778,0.11609958723896045,small,False
a5e81f20-ea35-4f63-a908-11d89fc1294c,bell pepper_0,aria04_214-1,cam02,4170,EXP-A,qwen3.5:35b,unknown object,True,cold_start,2455,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0016062644675925925,0.11849964086348555,small,False
a5e81f20-ea35-4f63-a908-11d89fc1294c,bell pepper_0,aria04_214-1,cam02,4170,EXP-B,qwen3.5:35b,unknown object,True,cold_start,2455,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0016062644675925925,0.11849964086348555,small,False
a5e81f20-ea35-4f63-a908-11d89fc1294c,bell pepper_0,aria04_214-1,cam02,4170,EXP-C,qwen3.5:35b,brown bottle,True,cold_start,2455,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0016062644675925925,0.11849964086348555,small,False
062ed386-05a4-4ff5-a8ff-2235045349d7,test cassette package_0,aria01_214-1,cam03,870,EXP-A,qwen3.5:35b,unknown object,True,cold_start,13660,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0010908564814814815,0.17540099838041803,small,False
062ed386-05a4-4ff5-a8ff-2235045349d7,test cassette package_0,aria01_214-1,cam03,870,EXP-B,qwen3.5:35b,white packet,True,cold_start,13660,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0010908564814814815,0.17540099838041803,small,False
062ed386-05a4-4ff5-a8ff-2235045349d7,test cassette package_0,aria01_214-1,cam03,870,EXP-C,qwen3.5:35b,unknown object,True,cold_start,13660,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0010908564814814815,0.17540099838041803,small,False
5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,cam01,5460,EXP-A,qwen3.5:35b,unknown object,True,cold_start,9391,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.002169656635802469,0.41059295242186966,small,False
5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,cam01,5460,EXP-B,qwen3.5:35b,blue person,True,cold_start,9391,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.002169656635802469,0.41059295242186966,small,False
5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,cam01,5460,EXP-C,qwen3.5:35b,unknown object,True,cold_start,9391,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.002169656635802469,0.41059295242186966,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,gp03,6420,EXP-A,qwen3.5:35b,green box,True,cold_start,7598,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0011021894290123458,0.41913205565292505,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,gp03,6420,EXP-B,qwen3.5:35b,blue cutting board,True,cold_start,7598,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0011021894290123458,0.41913205565292505,small,False
0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,gp03,6420,EXP-C,qwen3.5:35b,blue cutting board,True,cold_start,7598,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0011021894290123458,0.41913205565292505,small,False
a5e81f20-ea35-4f63-a908-11d89fc1294c,groundnut container _0,aria04_214-1,cam01,27990,EXP-A,qwen3.5:35b,black bottle,True,growth+movement,8526,0.2,0.2,0.36114876380790073,0.3363370134978627,0.0,0.0,0.0,1.0,0.0005279465663580247,0.2614184247375427,small,False
