take_id,object_id,cam,frame_idx,gt_obj_exists,pred_obj_exists,iou,shape_acc,existence_acc,location_score,gt_area,pred_area
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,0,1,1,0.9628022318606616,0.9965397923875432,True,0.009316949906249124,17577,17249
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,300,1,1,0.9800342845569222,1.0,True,0.001473139127471974,19681,19591
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,600,1,1,0.9774327382387639,1.0,True,0.001473139127471974,15865,15592
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,900,1,1,0.9764840980529408,1.0,True,0.002946278254943948,19961,19626
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,1200,1,1,0.9808336163764334,1.0,True,0.002946278254943948,20556,20267
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,1500,1,1,0.9731501389639039,1.0,True,0.001473139127471974,18921,18705
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,1800,1,1,0.9707858769876379,1.0,True,0.0020833333333333333,17466,17141
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,2100,1,1,0.9808920798180739,1.0,True,0.0032940392293420617,17585,17455
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,2400,1,1,0.9788798068957217,1.0,True,0.001473139127471974,18078,17995
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,2700,1,1,0.9769489922514513,1.0,True,0.001473139127471974,16843,16605
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,3000,1,1,0.9751788908711136,1.0,True,0.0,17791,17541
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,3300,1,1,0.970880840593724,1.0,True,0.0,17778,17485
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,3600,1,1,0.9718695822326946,1.0,True,0.001473139127471974,17787,17472
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,3900,1,1,0.9640838044509251,1.0,True,0.0020833333333333333,17974,17462
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,4200,1,1,0.9721792890209087,1.0,True,0.0020833333333333333,18004,17724
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,4500,1,1,0.9675249362040853,1.0,True,0.002946278254943948,17151,16777
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,4800,1,1,0.9703073545501081,1.0,True,0.0020833333333333333,18035,17864
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,5100,1,1,0.9770210409691195,1.0,True,0.0032940392293420617,17924,17781
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,5400,1,1,0.9755865921733207,1.0,True,0.001473139127471974,17771,17592
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,5700,1,1,0.9756419739988605,1.0,True,0.0020833333333333333,18714,18677
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,6000,1,1,0.9753348926165462,1.0,True,0.001473139127471974,18656,18504
464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04_aria01_214-1,6300,1,1,0.9727658186509417,1.0,True,0.0,18239,18052
